id,premise,hypothesis,lang_abv,language,label
6c12f1e611,then all the time it was in the spill vase in mrs inglethorp s bedroom under our very noses i cried,so it was hidden in another country impossible for us to locate,en,English,2
9832b523a0,because i always had to do it and so i just pay someone else to do it and they do the they do the cutting they fertilize they um edge and um i think this year i m going to have some landscaping put in,i have never developed a love for gardening,en,English,1
71bcd59dd6,she gets a little obsessive about her sauce,her sauce is so complicated that she s obsessed with perfecting each ingredient,en,English,1
aab0894630,rather kids today are not only little bundles of joy but also are perhaps the ultimate symbols of worldly success and status,while kids today are symbols of success and status and their parents are too,en,English,1
7ca8ba219d,china s civil war sent distressing echoes to hong kong,japan fought a civil war,en,English,2
e390988e6f,the seven grants flow from a new nonprofit capacity building program at the foundation part of a trend among philanthropists to give money to help organizations grow stronger rather than to the program services they provide,the grants flow from a nonprofit capacity building program at the foundation exemplifying a trend among philanthropists to give money to grow organizations and then to take them over,en,English,1
9e42108ae0,or eligibility could be restricted to those who have already been pregnant or at least sexually active to those over age 13 or under age 21 or some combination thereof,the age of consent is age 21 as well,en,English,1
4acead92d8,in this respect bringing steve jobs back to save apple is like bringing gen,steve jobs came back to apple,en,English,0
7b6768c074,or they had somebody at home that was ill that they had to tend to i mean you can t make it everybody,they did not have anything to do,en,English,2
11788e6295,from generation to generation michiko kakutani the new york times a few like pearl k bell in the wall street journal find a surfeit of sweetly obedient docility in the novel and say parts are perilously at the edge of sentimentality,they complained that the novel lacked any emotions,en,English,2
75cbac107c,hey no problem a fine policy,no worries a good policy,en,English,0
5b09f9eabb,the m tro subway is the fastest way to move around the city but the buses both in the capital and the other big towns are best for taking in the sights,taking the subway is a good way to experience big city life,en,English,2
c5c2c039e5,they were so sure of themselves that they took it for granted he had made a mistake,they simply assumed that he d made a mistake,en,English,0
604b64ca7f,i m on i m in the plano school system and living in richardson and there is a real dichotomy in terms of educational and economic background of the kids that are going to be attending this school,there is a huge amount of poor students and very few wealthy,en,English,1
716eeeea2a,okay and and i think we just hang up i don t think we have to do anything else,that s it we just hang up right,en,English,0
5de2aa81ed,they capitalized on the natural resources by using the salt to cure fish which they exported to their home country,they used salt to cure fish and sent it back home,en,English,0
f0e86993ca,news berates computer users for picking obvious easily cracked passwords and chastises system administrators for ignoring basic security precautions,news outlets do not blame users or system administrators for security breaches,en,English,2
b3c705a914,to their good fortune he s proving them right,he is showing that they were correct,en,English,0
99b71d209e,too bad it chose to use mcintyre instead,mcintyre was picked to be used as the closing pitcher,en,English,1
8bbc9fd459,and the other thing is the cost it s almost prohibitive to bring it to a dealer,it s cheap to bring it to a dealer,en,English,2
3c2e8a360d,whole life policies policies that provide insurance over the insured s entire life and the proceeds face amount are paid only upon death of the insured,a whole life policy is the best choice for someone who expects to live to the age of 90,en,English,1
b1ad9fb1ef,2466 discusses the four collections which include certification of a minimum number of installed and operating microwave links and the maintenance of a computer readable database,2466 discusses four collections,en,English,0
7cc9bb38f9,the women s haven which provides shelter and outreach to domestic violence victims already has a full time attorney,there is a full time attorney at the women s haven already,en,English,0
a8bcd9ccf7,uh high humidity,air with increased water content,en,English,0
80f6ac92a4,we need to look at the implications that these differing roles have for a range of issues such as ses core competencies performance standards recruitment sources mobility and training and development programs,we can completely ignore the implications of the roles on mobility,en,English,2
eb04f1a8f0,yeah yeah yeah well because that s the way they they might seem outwardly but boy there s a lots going on in there,there is another layer to the surface,en,English,0
e7ad6c38fc,in this situation the value to the mailer of the improved service would be considered along with the cost of doing the work,no consideration will be given to the cost of doing the work in this case,en,English,2
ca2f6459bd,is there adequate information for judging generalizability,output information is way too much generalized,en,English,1
212fc2ad66,the political cleansing that did not happen through the impeachment process leaves clinton with a great and serious burden,the impeachment process involved clinton s husband as well,en,English,1
d5249d1219,isn t it i can remember i ve only been here eight years but i can remember coming to work from i used to live in wylie and i could see downtown dallas,i have only been here for two years,en,English,2
a38659ed31,over most of the 1980s and 1990s the u s was able to invest more than it saved by attracting financing from abroad,the us could save more than it invested in the 1980 s and 90 s,en,English,2
a49ecd3734,credibility is a vital factor and jim lehrer does indeed have it,everyone would believe whatever jim lehrer said,en,English,1
952a08b1f3,there should be someone here who knew more of what was going on in this world than he did now,he knew he was the only person with any idea of what was going on,en,English,2
ef98cc7a44,its scorecard included measures for accuracy speed and timeliness unit cost customer satisfaction and employee development and satisfaction,accuracy and speed are the first measurements listed on the scorecard,en,English,1
dd883e1f46,on the left of the entrance ramp is the open space once occupied by the temple of athena close to which are the remains of the pergamene library,there are no remains visible from the ramp,en,English,2
640c0172a6,if you are keen to learn israeli folk dancing the bicurei ha etim cellar in heftman street will teach you,the bicurei ha etim cellar is the only place to learn israeli folk dancing,en,English,1
c4e8713899,or sherlock holmes,was it sherlock holmes,en,English,0
a14e13370f,though the two cities remained unlinked by rail this was about to change quickly,the two cities did not have a railway between them,en,English,0
39d065817a,tourist information offices can be very helpful,tourist information offices are never of any help,en,English,2
101dc2c1bb,more detailed implementation plans also will be necessary to address business system processes and resource issues,detailed implementation plans are necessary to address business system processes and resources,en,English,0
0c338feb50,first injected cannabinoids may not mirror the effects of smoked marijuana,smoking marijuana gets people higher than injected them with cannabinoids,en,English,1
617f1dc5f2,the data would be presented as required supplementary stewardship information accompanying the consolidated financial statements of the federal government but not in individual reports of its component units,the data would be included in individual reports concerning the constituent units of the federal government,en,English,2
8adeb402ee,boca da corrida encumeada moderate 5 hours views of curral das freiras and the valley of ribeiro do poco,views of curral da freiras and the valley of ribeiro do poco is chapter 5,en,English,1
a7a2a9fc5e,interest rate the price charged per unit of money borrowed per year or other unit of time usually expressed as a percentage,interest rate can range from zero to fifteen percent,en,English,1
e7bc15b1b9,that s hilarious to to get that jack off that s right oh that s a funny story,i will enjoy telling that story,en,English,1
f50208a07e,mr erlenborn attended undergraduate courses at the university of notre dame indiana university the university of illinois and loyala university of chicago,mr erlenborn attended classes in at least four different universities,en,English,0
00ddb7aea4,so unlike people who are fortunate enough to be able to afford attorneys and can go to another lawyer our clients are simply lost in the legal system if they cannot get access to it from us,our clients can afford attorneys and bouncing between lawyers,en,English,2
b0ee325483,finally the woman opened her eyes feebly,she opened her eyes,en,English,0
a5484dd197,the finest is the huge conical roofed tomb pillar of absalom king david s son,the tomb pillar of absalom has a large cone shaped roof,en,English,0
0393073e4a,unless the mention of the ritz was an accidental remark,was mentioning the ritz accidental,en,English,0
09b8ecb23f,they are the four sentences you always insert in plagiarized papers to throw the professor off track,these four sentences force professors to skim over the paragraph and inadvertently skip the plagiarized information,en,English,1
0477c22e6d,this man claims that he has been robbed en route and is stranded without money or his plane ticket in an airport somewhere in europe or the middle east,he claimed he was robbed on the way and has no money or a plane ticket,en,English,0
3074381515,it was planned in the 1820s as a symbol of scottish national pride and designed as a mini parthenon in deference to the neoclassical style popular at the time,it was designed to be a smaller version of the parthenon,en,English,0
489847e94d,although claims data provide the most accurate information about health care use ensuring adequate follow up for purposes of obtaining information from patient self report is important because many people do not report alcohol related events to insurance compa nies,alcohol related events that contribute to disease are often unreported by patients to their insurance companies,en,English,0
a235cb04e1,could you please speak to this issue with regard to the social ramifications of gum chewing in public,you don t have an opinion on gum chewing in public i see,en,English,2
772391afdf,the h 2a worker must depart the country and is subject to deportation for failing to do so,the h 2a worker committed a crime,en,English,1
e90c9dda0f,the researchers found expected stresses like the loss of a check in the mail and the illness of loved ones,the stresses affected people as the researchers expected,en,English,0
8c3a69f486,you have to walk through it,you can stay where you are,en,English,2
836766ea05,the 28 sta tues representing the kings of judah and israel have been remodeled after the drawings of viollet le duc the original ones were pulled down during the revolution since they were thought to be the kings of france,the people who pulled down the statues were executed,en,English,1
648feccb3d,ca daan closed the door behind them and retied the not,ca daan closed the door as they entered and bound it shut with rope,en,English,0
b23bdc1a30,small towns like louisian lay scattered all over the oil fields the main train line branched between them,a main train line went between all the small towns,en,English,0
b5ca4c01f3,i think that the people that are um have um a lower income which you automatically equate with lower education,i think higher income equals lower education,en,English,2
44bad2a664,be of good cheer,be of good cheer for beer time is near,en,English,1
5594f92e61,in reviewing this history it s important to make some crucial distinctions,there s no point in analyzing the past,en,English,2
970707c7f5,the black river at 71 km 44 miles is the longest in jamaica it was an arterial route used to transport rum and lumber from the inland plantations,the black river received its name because the water in its stream is actually black,en,English,1
3fa01b03f8,in our town of five thousand we have one that is uh local fm am station and their news is fed from cnn too uh it s more of uh,the town radio station never relied on any national news sources,en,English,2
0bc8210460,there are certain categories of control activities that are common to all agencies,control activities such as safe business practices are universally common across all agencies,en,English,1
d37166ccce,more than 100 judges lawyers and dignitaries were present for the gathering,only two people showed up for the gathering,en,English,2
1575809c3c,he had forgotten about adrin,he remembered adrin all this time,en,English,2
db6d9923f3,in other words the paper exhibited the all too typical journalistic tic of exposing potential conflicts of interest involving politicians while ignoring those involving journalists,the paper shows the journalists exposing potential conflicts of interests around politicians but never exposing other journalists,en,English,0
1e9caaf93c,the final reason for the teen renaissance is boomer self obsession,boomer self obsession is one of the reasons for teen renaissance,en,English,0
9d597f75c9,after the death of columbus in 1505 jamaica became the property of his son diego who dispatched don juan de esquivel to the island as governor,jamaica was inherited by columbus son diego,en,English,0
56d48aa27a,they won t be killing off george clooney s character at er like they did to jimmy smits at nypd instead dr doug ross is being forced out over the next two episodes because the maverick heartthrob gives an unauthorized painkiller to a terminally ill boy thursday 10 p m,george clooney will lose his job because the producers don t think he can act,en,English,2
fd0d3579c4,120 you do not think i ought to go to the police,should i not go to the police,en,English,0
e21db52eb1,yeah because those things i think would just snap you know,because they would survive easily,en,English,2
f9f20650aa,we have taken a number of steps to empower and invest in our employees,the steps we have taken put programs for the employees in place,en,English,0
85cc0bfc3d,in the case of speech fiss appears to believe that the reason the american public is less enlightened than he would wish it to be concerning matters such as feminism the rights of homosexuals and regulation of industry is that people are denied access to the opinions and information that would enlighten them,people in america are very well informed on controversial topics according to fiss,en,English,2
e1cfb4f6e6,the rustic bras david picnic area for example is set alongside a burbling stream,the picnic area is not near a stream,en,English,2
13b2d2328b,and uh well if you if you got got him a power mower it d probably take him a lot less time to do it but i enjoy doing it i feel good doing it uh i i feel a lot better doing it with a power mower with that with a with a pull tractor on it so i don t have to push so hard,he would mow your entire yard in eight minutes if he was using a power mower,en,English,1
dc5c4be838,um hum yeah i saw that for the first time yesterday in the evening,i was very impressed when i saw that yesterday,en,English,1
0ef9524ce7,bauerstein,alfred inglethorp,en,English,2
0cc7c4de1b,what have we for lunch,what are we going to eat for lunch,en,English,0
840da92d5e,a poll of hong kong residents finds them sanguine about the city s future,a poll of hong kong residents finds them more sanguine about the city s future than before,en,English,1
e0bec36772,well i meant when when you were when you were growing up i mean like galveston,you grew up in galveston and i grew up in dallas,en,English,1
fb3122d537,i am so constituted as to be unable to give away money with any satisfaction until i have made the most careful inquiry as to the worthiness of the cause,i have to research a cause carefully before donating money to it,en,English,0
2eca16560f,you know they they like what they re doing they you know they feel good about what they re doing that type of thing it s more,you can see the way that their whole demeanor has changed,en,English,1
bb14b19517,can i help you,i m not helping you at all,en,English,2
ee4804f903,the traditional opening time for many hotels is the orthodox easter although some do not open until the end of april,the hotels don t open in halloween,en,English,1
a080e008b4,medical and surgical expense coverage,medical and surgical expenses were fully covered,en,English,1
2d1499038c,exactly and when i m sitting here on the sofa cross stitching and all of a sudden somebody a man s got their hand on my door knob it s like uh like oh no and so i don t i don t like that and i guess the only way to prevent it would be just to pass a city ordinance to prevent that or,a man tried to enter the house so that he could rob it,en,English,1
22cbc0822e,the chinese calendar was used to calculate the year of japan s foundation by counting back the 1 260 years of the chinese cosmological cycle,japan s foundation was determined by using the chinese calendar,en,English,0
1bdedd4aad,yeah pay fifteen yeah yes i know yeah and when you pay fifteen dollars a month it sure takes a long time,when you pay 100 a month it take a long time,en,English,2
e33426bedc,thus the net scale benefit is initially positive whether or not we adjust for the wage premium,initial net scale benefits are negative when adjusted for the wage premium,en,English,2
906a6e0a56,look here you ve no business to come asking for me in this way,there s no reason for you to be asking for me like this,en,English,0
d2c7168834,the experts point out that it is not age alone that determines a chinese antique s value the dynasties of the past had their creative ups and downs,collectors base the price of their chinese antiques off of their age only,en,English,2
7d508126f5,small towns like louisian lay scattered all over the oil fields the main train line branched between them,there was only one town in the oil fields,en,English,2
88e6badfb0,regulators may not be totally supportive of a more comprehensive business model because they are concerned that the information would be based on a lot of judgment and therefore lack of precision which could make enforcement of reporting standards difficult,difficulty of reporting standards can be a huge obstacle for this business model,en,English,0
d3494c9134,first get the basics right that is the blocking and tackling of financial reporting,the basics need to be right first,en,English,0
bd5170cc00,in a still faintly victorian atmosphere dinard has preserved all the best assets of a good luxury villas and long paved promenades plush hotels elegant boutiques discothyques casino parks and gardens and an olympic size public swimming pool,dinard maintains a victorian sensibility while also including luxury elements,en,English,0
7fc0868da7,along with each step certain practices proved especially important to the success of their efforts,no practices were helpful,en,English,2
e8c24ef38d,but there s something,there s absolutely nothing in there,en,English,2
baf8d9d77e,it s easy to overdose on the many temples palaces and museums in india,you ll find a scarcity of palaces and temples across india,en,English,2
699cda3b5d,very simply,not complicatedly,en,English,0
a5051deb4b,yeah they were my favorite team for a while,they had been my favorite team,en,English,0
e0620a1cf3,this historically renowned freshwater lake known both as the sea of galilee and lake kinneret meaning a harp after its shape is just 58 km 36 miles in circumference,the sea of galilee has also been known as lake kinneret for hundreds of years,en,English,1
75d19cb0b4,because i i mean i don t know it s just something i think something we need,i think we could do without it but it would change our quality of life greatly,en,English,2
aee859bf43,jon walked back to the town to the smithy,jon continued on into the mountains,en,English,2
a044773c45,the leland act 1 simplify the household definition,the household definition can be simplified,en,English,0
47e70f26a2,the data would be presented as required supplementary stewardship information accompanying the consolidated financial statements of the federal government but not in individual reports of its component units,individual reports that focus on its component units wouldn t include the data,en,English,0
44e1508411,initial demand for land in the new town was not spectacular in fact incentives had to be offered to entice buyers,at first demand for land in the new town was high and property sold swiftly,en,English,2
090f0faa90,well they re so close to an undefeated undefeated season they can taste it and they wanna make history so i don t think they re gonna lack for motivation,unless they suffer any losses they ll remain motivated,en,English,1
f810ce4215,thus the net scale benefit is initially positive whether or not we adjust for the wage premium,net scale benefits can become negative over time,en,English,1
d853d09c6b,it was utterly mad,it was perfectly normal,en,English,2
947c1b6778,saving that did not finance domestic investment would increase net foreign investment and improve the current account balance,saving could increase net foreign investment substantially and quickly,en,English,1
188b16bfcc,it has long been influenced by their differing traits and has assimilated their various customs and practices,their different traits have had no impact on any cultures,en,English,2
685d9362cc,but is the internet so miraculous an advertising vehicle that gross will be able to siphon off 400 per person from total ad spending of 1 000 per family or persuade advertisers to spend an additional 400 to reach each of his customers,was the internet so great at advertising that gross would pay 400 per person per ad totalling spending 1000 per family or persuade adversisers to shell out an extra 400 to reach each customer,en,English,0
ea1980d04a,the questions may need to be tailored to,there are some questions that may or may not need to be tailored to,en,English,0
dd5cf5be4a,have you read tom clancy,he personally liked tom clancy,en,English,1
712c13e109,that s it the girl looked at him then passed her hand across her forehead,the girl turned away from him and kept her hands still,en,English,2
60a3616f73,melatonin,it has ten grams of melatonin,en,English,1
fd6995f7a4,diets for men in their prime,a diet for men made up completely of meat,en,English,1
07acbc212e,yeah it s just a matter of education i think,yeah but education doesn t matter,en,English,2
20280e311d,three more days went by in dreary inaction,the days passed by slowly,en,English,1
e83a8ebb40,every august young women convene to light joss sticks and some even climb the nine meter 30 ft rock to pray for good husbands,women find husbands after climbing the rock and praying,en,English,1
9c540a00f9,it was still night,the sun hadn t risen yet for the moon was shining daringly in the sky,en,English,0
5fb34600a3,for example if ovitz s five year deal was worth say 100 million and if the compensation committee had added to that a front end grant of free disney shares worth say 50 million then assuming that ovitz finished his five year contract period the cost to disney would be 150 million,the five year deal will be worth 100 million,en,English,1
4241535fa7,you know we keep a couple hundred dollars um if that much charged on those which isn t too bad it s just your normal,we have some money on there,en,English,0
006bde060b,as long as assad lives he can manage these troubles and keep an agreement with israel,as long as assad doesn t die in the hurricane he will still be able to take care of the trouble with the soldiers,en,English,1
f78470a892,some experts say there s a greater chance of a making a catch in the cooler days of spring and autumn and in the hours after sunset,experts say you should never try to make a catch after sunset,en,English,2
e186df7e87,across the river from the city it has superb views rooms are very contemporary in design,it has terrible views of the parking lot,en,English,2
722f180b8d,if not the most beautiful the chateau is certainly the most formidable in the loire valley a real defensive fortress its black ramparts still forbidding despite having had their towers decapitated on the orders of henri iii,the chateau is certainly the least formidable in all of the loire valley,en,English,2
fb11f93c8c,two aromatic aniseed drinks are also produced locally,the aniseed drinks have a good smell to them,en,English,0
ebb9f61ef4,in japan mainichi shimbun criticized the new liberal democratic party leader keizo obuchi for being devoid of fresh ideas for reviving the japanese economy,mainichi shimbun approved of keizo obuchi s efforts toward improving the economy,en,English,2
c5a14e7487,sandstone and granite were the materials used to build the baroque church of bom jesus famous for its casket of st francis xavier s relics in the mausoleum to the right of the altar,the baroque chuch of bom jesus is a famous church made of sandstone and granite,en,English,0
ba422fd361,test organisms,trial living plants,en,English,1
60b28e56b7,don t take it to heart lad he said kindly,he was trying to console the lad,en,English,0
9200bffc21,summary of deferred maintenance as of september 30 199z in millions of dollars,deferred maintenance in millions of dollars as of september 30 199z,en,English,0
05a7cfb970,the opportunity,opportunities are important to take advantage of,en,English,1
7eec599334,uh wasn t that jane eyre no he wrote jane eyre too,was it jane eyre or not,en,English,0
658d8835d7,i shan t stop you,i will stop you,en,English,2
9bb522b7fa,environmental protection agency,agency which is responsible for the protection of the environment and the maintaining of national parks,en,English,1
6ec1777273,these gardens used to belong to the governor s mountain lodge but the building was demolished by the japanese during the occupation of hong kong,these gardens belong to the governor s mountain lodge,en,English,2
58f6abe2c3,there is nothing more to be done here i think unless he stared earnestly and long at the dead ashes in the grate,there isn t anything left to do,en,English,0
a4910a7455,they are the four sentences you always insert in plagiarized papers to throw the professor off track,if you put these four sentences into your paper professors will immediately know that it s been plagiarized,en,English,2
fd829a35fa,i think as soon as they get you they ll come for me,i ll help you get away,en,English,1
5d88ae49e5,in short this is a whole new costing area that would need to be undertaken,in a nutshell this new costing area would need to be undertaken,en,English,0
bbbb856251,melatonin,it contains melatonin,en,English,1
69ea5fdf98,you ll find galleries in all the major towns and in some of the smaller villages,smaller villages also operate galleries that can be found,en,English,0
0cdf9729c4,they found plenty of water pouring down from the mountains and more timber than anyone knew what to do with,there was no water found pouring down from the mountains,en,English,2
7c9e190576,on your right is the entrance to the 16th century sandal bedesten with lovely brick vaults supported on massive stone pillars,we will not be able to show you the entrance to the sandal bedesten because of construction,en,English,2
c0ca677f33,progressives at last are noticing that the best argument for government activism is that it works,progressives are arguing that government activism does not work whatsoever,en,English,2
ee0ae0cb5a,no one was there no bones at all,nothing was left from the body,en,English,0
cf9c1da840,while the nipa measure reflects how government saving affects national saving available for investment the unified budget measure is the more common frame of reference for discussing federal fiscal policy issues,the nipa measure is more reliable than the unified budget measure,en,English,1
cd1325c6c0,my body is to me like a crippled rabbit that i don t want to pet that i forget to feed on time that i haven t time to play with and get to know a useless rabbit kept in a cage that it would be cruel to turn loose,i am anorexic,en,English,1
0463886779,uh but you could fill a whole bunch of uh holes with these things i used to i used to advertise buying wheat pennies um i d give a dollar a roll which two cents a piece which is basically overpriced,i used to try to sell wheat pennies,en,English,2
0bebb69377,penrith and blencathra are also celtic names established during this early period of settlement,penrith and blencathra are names which go back to ancient rome,en,English,2
fc78995df5,if necessary to meeting the restrictions imposed in the preceding sentence the administrator shall reduce pro rata the basic phase ii allowance allocations for each unit subject to the requirements of section 414,the administrator shall reduce allowance for each unit,en,English,0
fbd26839bc,as a result their services may be more effective when conducted in the emergency department environment,their services might be more effective if they re done in the ed,en,English,0
16778dd22f,evaluation questions,there are evaluation questions on the topic,en,English,1
fc4c4c50ef,therefore many leading finance organizations have calculated and compared these percentages as a general indication of how well they supported the organization s business objectives,finance organization calculated data about every other organization,en,English,1
14f4633e72,previously at the request of the republican ranking minority member of the house committee on government operations gao reviewed activities of president clintonas task force on health care reform and was provided with an extensive listing of working group participants drawn from the government and from outside organizations,the gao have reviewed the activities of president clinton s task force,en,English,0
df7d813655,she in turn was worshipped by her subjects as a living god,as a result she was revered by her subjects as a living deity one among many,en,English,1
eba73bd7a3,the air is warm,the frigid air caught them all by surprise,en,English,2
a2717ae8c8,among the disadvantages are that the degree of innovation and product differentiation might continue to be limited,limited innovation is not going to be an advantage,en,English,0
2921f15d1a,treat yourself and bill it to si,spend as much as you like and bill it to si,en,English,1
3708d880f1,i think that yeah i think and i i think that s real important,i truly believe that that s really important for us to know,en,English,1
e0c834869d,an important part of u s diplomacy is getting sovereign states to work together voluntarily,it s not important for states to work together,en,English,2
109e732710,chapter 6 human capital,capital is money not people,en,English,2
5bfb69f35b,the rise of the british empire in india had begun,it started the rise of the german empire in india,en,English,2
a5da185d23,but uh these guys were actually on the road uh two thousand miles from from home when they had to file their uh their final exams and send them in,these men filed their midterm exams from home,en,English,2
7d5ddf5f4a,sarawak pottery is ochre colored with bold geometric designs,sarawak pottery has been around for a long time,en,English,1
926329d709,i ordered better sexual techniques advanced sexual techniques making sex fun and advanced oral sex techniques priced about 11,the orders i made were not being offered for free,en,English,0
f979d320c6,benchmarked by u s,benchmark in america,en,English,0
826e99eeca,the truth,will you tell the truth,en,English,1
027926b796,it sure will well good to talk to,let s talk again soon,en,English,1
ddc5c5c93c,because like tech is known to be a good engineering school and a and m maybe is known more for computers,a and m s computer department isn t very well regarded,en,English,2
a0613df78f,the celebrity obsessed magazine surpasses itself in the post oscar issue,the magazine is not interested in celebrities,en,English,2
95c7cec891,tommy felt his ascendancy less sure than a moment before,tommy was getting less certain about his ascendancy,en,English,0
cbe73b273c,whether you drink beer or alcohol or not a trip to dublin isn t complete without a visit to some of its pubs don t miss this experience,if you don t drink don t bother visiting the pubs in london,en,English,2
d247609690,but although the 60 minutes producer is played by the star pacino grandstands but not to the point of distraction bergman s story doesn t have the same primal force,the producer is played by harrison ford,en,English,2
f6e41d1022,i never said you were a mandrake man,i never once said or implied you were a mandrake,en,English,0
c19680fafc,down here it s been it s everybody s got colds and everything because it s cold one day and hot the next day,the colds are directly related to the temperature change,en,English,0
2795b33ec0,i don t know what kind of a summer we re expecting this year i imagine it s going to be hot again,i work in the weather station so i know all about the predictions for the weather this summer,en,English,2
12a478c197,the central section of tinos has little of interest but make your way over the hills to the pretty village of pyrgos famed for its school of marble carving,not very many tourists visit the central section of tinos,en,English,1
cabe20cde8,unless the report is restricted by law or regulation auditors should ensure that copies be made available for public inspection,this report is most likely restricted by law or regulation and should not be ensured,en,English,1
741dbae71f,the next year he was expelled from rand as a security risk after local police caught him engaging in a lewd act in a public men s room near muscle beach,they expelled him from rand because he commited a crime,en,English,0
0a88884390,i was to watch for an advertisement in the times,i was anticipating an ad for cigars in the newspaper,en,English,1
49347a3bdc,unsurprisingly golfing is prohibitively expensive,golf is a cheap past time so lots of people do it,en,English,2
1bd822f1b6,the final reason for the teen renaissance is boomer self obsession,there are 15 key reasons for the teen renaissance we are seeing,en,English,1
2727ca4d90,uh well i figured if i had it done in the garage at the toyota dealer i would be looking at probably three or four hundred dollars,the cost at the dealer s garage is twice as much as what i paid,en,English,1
78367023e3,part 2 confidentiality of alcohol and drug abuse patient records,drug and alcohol rehab records are to be kept confidential,en,English,0
8ebef1ecc0,not quite as large is the papal crose commemorating pope john paul ii s visit in 1979 when more than one million people gathered to celebrate mass,more than a million people gathered to celebrate mass when pope john paul ii visited in 1979,en,English,0
05389d7aae,well they re so close to an undefeated undefeated season they can taste it and they wanna make history so i don t think they re gonna lack for motivation,they re close to winning the season so they won t have any issues with motivation,en,English,0
e0a29d673a,trying to keep grass alive during a summer on a piece of ground that big was expensive,there was no cost in keeping the grass alive in the summer time,en,English,2
b1d3e0d8fe,they managed to control much of the country for nearly a century before the muslim leader saladin salah ad din defeated them in 1187,they controlled the entire country even when saladin failed to attack them in 1187,en,English,2
b5ce227c28,his grandson akbar chose agra for his capital over delhi,the choice of agra over delhi came down to one having better food than the other does,en,English,1
3328cdd6d6,the information provided in this guide is current as of the date of this publication,the information in the guide is up to date,en,English,0
485d507d11,if anything ultimate fighting is safer and less cruel than america s blood sport,nothing is a dangerous as ultimate fighting,en,English,2
ed81affc50,jon saw him ride into the smoke,he rode towards jon and out of the smoke,en,English,2
bc499f98e6,someone else noticed it and i said well i guess that s true and it was somewhat melodio us in other words it wasn t just you know it was really funny,someone else paid attention to it and it was really funny,en,English,0
197669f910,in a six year study scientists fed dogs and other animals irradiated chicken and found no evidence of increased cancer or other toxic effects,scientists gave animals irradiated chicken and they all lived as long as the rest of them,en,English,0
